,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1
73,0,0,0,1812.4,13.0,22.0,1,0,04-11-2016,65.5890625,74.12,10.89541667,11.22,0,29.64121318,34.829275,56.37635417,67.98,28.27645833,32.83,0,0,1,30462,12850,37574-12850-5,NavyNagar,19.091798,72.8799139,30462_12850_74
74,1,1,0,1904.23,16.0,29.0,1,1,04-11-2016,0.1,0.1,10.88645833,11.25,0,29.64121318,34.829275,56.37635417,67.98,28.27645833,32.83,0,0,1,30462,12850,37574-12850-5,KempsCorner,19.149768,72.87428721,30462_12850_75
75,0,0,0,1200.0,1.0,25.0,1,1,15-11-2016,0.0,0.0,11.00677083,11.21,0,28.50176347,35.76328321,65.34104167,84.23,27.38604167,33.9,0,0,1,30462,12852,12852-37610-6,KhareghatColony,19.9262118,72.87820933,30462_12852_76
76,0,2,0,1078.3,10.0,42.0,1,0,17-11-2016,10.82395833,51.86,11.02552083,11.17,1,29.01596149,35.96891312,64.06947917,83.89,27.47604167,34.14,0,0,1,30462,12852,12852-37610-6,DadiShethWadi,19.9448297,72.87617293,30462_12852_77
77,1,1,0,745.6,7.0,22.75098814229249,1,0,23-11-2016,28.76010417,37.79,11.00729167,11.21,1,27.95688481,34.63766307,58.54260417,79.82,27.25791667,34.33,0,0,1,30462,12852,12852-37610-6,SimlaNagar,19.9524147,72.87614963,30462_12852_78
78,1,1,0,501.0,1.0,42.0,1,0,04-12-2016,11.83145833,88.19,11.07885417,11.32,1,29.85703847,38.06196736,65.9296875,79.63,27.64208333,34.43,0,0,1,30462,12852,12852-37610-6,Walkeshwar,19.9780306,72.87478413,30462_12852_79
79,0,1,0,465.0,9.571917808219178,7.0,0,1,15-12-2016,0.0,0.0,11.06072917,11.36,0,28.41034922,34.35724807,61.45010417,73.83,27.1553125,32.85,0,0,1,30462,12852,12852-37610-6,DalalEstate,19.9199937,72.87752523,30462_12852_80
80,2,0,0,544.7,10.0,20.0,1,0,24-12-2016,6.711979167,73.34,10.98270833,11.17,1,26.34864381,33.35488083,64.6171875,78.54,25.16302083,32.09,0,0,1,30462,12852,12852-37610-6,BharatNagar,19.8987957,72.87601723,30462_12852_81
81,1,2,0,737.0,11.0,42.0,1,1,25-12-2016,10.84,10.84,11.14239583,11.28,0,25.59319833,33.85213521,69.52239583,85.92,24.879375,32.28,0,0,1,30462,12852,12852-37610-6,GowaliaTank,19.8907737,72.87572273,30462_12852_82
82,0,0,0,859.1,10.0,42.0,1,1,01-01-2017,0.0,0.0,10.96125,11.26,0,26.92778172,32.43398788,59.61145833,77.88,26.1053125,33.12,0,0,1,30462,12852,12852-37610-6,BharatNagar,19.8775177,72.87622803,30462_12852_83
83,1,1,0,760.0,9.0,12.0,0,1,09-01-2017,11.0859375,70.41,2.889166667,11.2,1,25.06985211,29.73923795,66.39145833,82.02,24.216875,28.71,0,0,1,30462,12852,12852-37610-6,Talmakiwadi,19.8732337,72.87583213,30462_12852_84
84,1,1,0,745.6,7.0,22.75098814229249,1,0,17-01-2017,7.4725,29.59,11.03770833,11.2,1,25.81300825,31.58009574,63.605625,80.08,24.9109375,30.91,0,0,1,30462,12852,12852-37610-6,GrantRoadEast,19.9237547,72.87845013,30462_12852_85
85,2,2,0,583.3,9.0,20.0,1,0,19-01-2017,22.17,22.17,10.98729167,11.24,0,25.6198129,31.54507071,62.2715625,77.79,24.53229167,30.81,0,0,1,30462,12852,12852-37610-6,Nagpada,19.9173597,72.87877523,30462_12852_86
86,0,1,0,990.0,1.0,10.0,0,1,26-01-2017,0.1,0.1,11.071875,11.32,0,27.37546363,32.10186073,53.48875,64.2,26.44302083,32.54,0,0,1,30462,12852,12852-37610-6,ZoroastrianColony,19.9059387,72.87049613,30462_12852_87
87,0,0,0,550.0,2.0,31.0,1,0,28-01-2017,23.18177083,81.98,10.97958333,11.2,1,27.98977332,34.01438253,51.31875,68.48,27.11927083,33.68,0,0,1,30462,12852,12852-37610-6,KempsCorner,19.9020507,72.87132873,30462_12852_88
88,0,0,0,715.4,5.0,20.0,1,1,30-01-2017,22.62,22.62,11.01020833,11.2,0,27.54718953,32.68057541,48.62916667,62.77,26.75385417,33.57,0,0,1,30462,12852,12852-37610-6,GrantRoad(W),19.8855707,72.87392213,30462_12852_89
89,1,1,0,745.6,7.0,22.75098814229249,1,0,06-02-2017,27.1253125,32.13,10.9965625,11.24,1,24.87045431,29.88047148,66.4615625,79.92,23.94802083,29.01,0,0,1,30462,12852,12852-37610-6,ShapurBaug,19.36667794,72.87527,30462_12852_90
90,0,0,0,472.5,18.0,20.0,1,1,25-02-2017,15.53,15.53,11.0421875,11.45,1,29.53561197,36.16134776,47.3953125,68.78,29.08552083,36.97,0,0,1,30462,12852,12852-37610-6,BharatNagar,19.34466794,72.875286,30462_12852_91
91,1,0,0,920.6,5.0,20.0,1,0,02-03-2017,0.0,0.0,11.00458333,11.28,0,28.77466574,35.04366891,48.14708333,61.96,28.19833333,33.88,1,0,0,30462,12852,12852-37610-6,AnandNagar,19.33662794,72.875726,30462_12852_92
92,0,0,0,1041.0,12.0,22.0,1,1,03-03-2017,0.659479167,53.81,11.02479167,11.3,1,29.1738979,35.10486244,55.655,71.9,28.10302083,33.36,1,0,0,30462,12852,12852-37610-6,GamadiaColony,19.33885794,72.875276,30462_12852_93
93,2,2,0,894.6,12.0,42.0,1,1,25-03-2017,6.423645833,64.17,11.086875,11.34,1,32.69646733,42.42598613,63.84854167,78.19,29.5834375,35.16,1,0,0,30462,12852,12852-37610-6,BaneCompound,19.3331957,72.87477223,30462_12852_94
94,0,2,0,1139.9,7.0,22.75098814229249,1,1,30-03-2017,0.0,0.0,10.93145833,11.26,0,35.04040655,43.52019559,80.65583333,87.25,29.10822917,33.28,1,0,0,30462,12852,12852-37610-6,Talmakiwadi,19.3195837,72.874422,30462_12852_95
95,0,1,0,2487.0,3.0,6.0,0,1,31-03-2017,41.60763441,115.53,10.95447917,11.12,1,34.4748285,44.24785057,72.39177083,88.33,29.76114583,34.12,1,0,0,30462,12852,12852-37610-6,ZoroastrianColony,19.3194837,72.87389523,30462_12852_96
96,2,1,0,2151.4,7.0,22.75098814229249,0,1,02-04-2017,45.80041667,84.47,11.07479167,11.2,1,32.67351863,40.16093219,74.94520833,89.31,28.89447917,33.65,1,0,0,30462,12852,12852-37610-6,PapanasWadi,19.3077617,72.87259913,30462_12852_97
97,0,0,0,381.0,4.0,20.0,1,0,04-04-2017,53.93604167,75.42,11.0240625,11.27,0,32.67351863,40.16093219,74.94520833,89.31,28.89447917,33.65,1,0,0,30462,12852,12852-37610-6,Chikalwadi,19.2931854,72.87180077,30462_12852_98
